year,firm_group,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
2008,JPMorgan family,1,1,412783.9,224.961,101491.0,1834.9131627259835,1834.9131627259835,451.14931032490074,451.14931032490074,1834.9131627259835,451.14931032490074
2009,JPMorgan family,1,1,439222.5,222.316,115632.0,1975.6675183072743,1975.6675183072743,520.1245074578528,520.1245074578528,1975.6675183072743,520.1245074578528
2010,JPMorgan family,1,1,406385.8,239.831,115475.0,1694.4673540951753,1694.4673540951753,481.4848789355838,481.4848789355838,1694.4673540951753,481.4848789355838
2011,JPMorgan family,1,1,416989.4,260.157,110838.0,1602.8375173452955,1602.8375173452955,426.0427357326538,426.0427357326538,1602.8375173452955,426.0427357326538
2012,JPMorgan family,1,1,434218.9,258.965,107084.0,1676.7474369123242,1676.7474369123242,413.5076168594212,413.5076168594212,1676.7474369123242,413.5076168594212
2013,JPMorgan family,1,1,481018.2,251.196,105790.0,1914.911861653848,1914.911861653848,421.14524116626063,421.14524116626063,1914.911861653848,421.14524116626063
2014,JPMorgan family,1,1,541457.5,241.359,102102.0,2243.3698349761144,2243.3698349761144,423.02959491877243,423.02959491877243,2243.3698349761144,423.02959491877243
2015,JPMorgan family,1,1,532573.5,234.598,100492.0,2270.1536244980775,2270.1536244980775,428.3582980247061,428.3582980247061,2270.1536244980775,428.3582980247061
2016,JPMorgan family,1,1,547798.9,243.355,105486.0,2251.0279221713135,2251.0279221713135,433.4655133447022,433.4655133447022,2251.0279221713135,433.4655133447022
2017,JPMorgan family,1,1,580588.9,252.539,113254.0,2299.0068860651227,2299.0068860651227,448.46142575998164,448.46142575998164,2299.0068860651227,448.46142575998164
2018,JPMorgan family,1,1,592295.5,256.105,131412.0,2312.7057261670016,2312.7057261670016,513.1176665820659,513.1176665820659,2312.7057261670016,513.1176665820659
2019,JPMorgan family,1,1,708540.3,256.981,142422.0,2757.169985329655,2757.169985329655,554.2121791105179,554.2121791105179,2757.169985329655,554.2121791105179
2020,JPMorgan family,1,1,1026276.07,255.351,129503.0,4019.0798939498964,4019.0798939498964,507.15681552059715,507.15681552059715,4019.0798939498964,507.15681552059715
2021,JPMorgan family,1,1,950675.5,271.025,127202.0,3507.704086338899,3507.704086338899,469.3367770500877,469.3367770500877,3507.704086338899,469.3367770500877
2022,JPMorgan family,1,1,812961.2999999999,293.723,154792.0,2767.7822301964775,2767.7822301964775,526.9999285040667,526.9999285040667,2767.7822301964775,526.9999285040667
2023,JPMorgan family,1,1,1092197.0,309.926,236311.0,3524.0573556268273,3524.0573556268273,762.4755586817498,762.4755586817498,3524.0573556268273,762.4755586817498
2024,JPMorgan family,1,1,1281277.0,317.233,278803.0,4038.9146148099344,4038.9146148099344,878.8587568128158,878.8587568128158,4038.9146148099344,878.8587568128158
2025,JPMorgan family,1,1,1461286.1,318.512,279717.0,4587.852576982971,4587.852576982971,878.199251519566,878.199251519566,4587.852576982971,878.199251519566
1950,S&P Global,1,1,,3.3,46.7,,,14.151515151515152,14.151515151515152,,14.151515151515152
