era,n_obs,n_firms,mean_emp,mean_rev,mean_revenue_per_employee,median_revenue_per_employee,mean_aum_per_employee,median_aum_per_employee
Pre-computerization,102,5,6.691166666666667,379.6290315789474,46.19571819531017,35.77549128661476,262.3803097106135,291.4430384390778
Computerization,55,5,13.081018181818182,2645.145890909091,180.68967098656464,164.04531761624102,908.2982674119596,653.4825742209109
Indexing,125,5,74.29081451612903,30612.021719999997,333.50555209752247,319.62786563692623,3043.7950576754656,1914.911861653848
AI,50,5,122.12862,69197.96,467.30489035542666,415.4495134542113,10783.258105403416,3137.743158267688
